subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at
63028329,16337,18849,96059,"{""Filename"":""MB-MG516-N-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/2ea72004-f7d3-4b5a-ac72-e3603bcca6df.jpeg""}",0,,,2021-06-23 17:48:24 UTC,2021-06-23 17:48:24 UTC
63028330,16337,18849,96059,"{""Filename"":""MB-MG516-S-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/92b15e55-d386-4274-9a01-e1861c4b0328.jpeg""}",0,,,2021-06-23 17:48:24 UTC,2021-06-23 17:48:24 UTC
63028331,16337,18849,96059,"{""Filename"":""MB-MG516-S-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/33b70ad0-872e-4b54-88f5-ba8412542698.jpeg""}",0,,,2021-06-23 17:48:24 UTC,2021-06-23 17:48:24 UTC
63028333,16337,18849,96059,"{""Filename"":""MB-MG516-W-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/cfb1bea9-592f-4b5e-9683-2b32d5ada21e.jpeg""}",0,,,2021-06-23 17:48:25 UTC,2021-06-23 17:48:25 UTC
63028334,16337,18849,96059,"{""Filename"":""MB-MG516-W-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/88fa34dc-2dcf-4b27-b91b-56d7ec407085.jpeg""}",0,,,2021-06-23 17:48:25 UTC,2021-06-23 17:48:25 UTC
63028335,16337,18849,96059,"{""Filename"":""MB-MG517-E-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/71987ce1-bb3e-4685-bb13-7486c2fd0a42.jpeg""}",0,,,2021-06-23 17:48:25 UTC,2021-06-23 17:48:25 UTC
63028336,16337,18849,96059,"{""Filename"":""MB-MG517-E-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/7f99c2da-9c38-43d4-9860-f4e6519f1cdc.jpeg""}",0,,,2021-06-23 17:48:25 UTC,2021-06-23 17:48:25 UTC
63028338,16337,18849,96059,"{""Filename"":""MB-MG517-N-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/0793fc58-4c79-49c3-b595-6985ed20af07.jpeg""}",0,,,2021-06-23 17:48:25 UTC,2021-06-23 17:48:25 UTC
63028339,16337,18849,96059,"{""Filename"":""MB-MG517-S-A.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/40dc1b1b-3a6c-4262-8869-f37f436de992.jpeg""}",0,,,2021-06-23 17:48:26 UTC,2021-06-23 17:48:26 UTC
63028340,16337,18849,96059,"{""Filename"":""MB-MG517-S-B.jpg""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/0ffe2ce6-b73b-4dda-a2ae-202efafd7818.jpeg""}",0,,,2021-06-23 17:48:26 UTC,2021-06-23 17:48:26 UTC
